Who,What,Title,SrcPath,SrcFile,DestPath,DestFile
,,Butterfly Nebulae,DRUPAL_ROOT/sites/all/modules/custom/imager_migrate/migrate.images,Butterfly.jpg,public://pictures,Butterfly.jpg
,,Aurora Borealis in Iceland,DRUPAL_ROOT/sites/all/modules/custom/imager_migrate/migrate.images,aurora_iceland.jpg,public://pictures,aurora_iceland.jpg
,,Igloo in Iceland,DRUPAL_ROOT/sites/all/modules/custom/imager_migrate/migrate.images,aurora_igloo-a.jpg,public://pictures,aurora_igloo-a.jpg
,,Earth from Space,DRUPAL_ROOT/sites/all/modules/custom/imager_migrate/migrate.images,earth.jpg,public://pictures,earth.jpg
,,Eye of God Nebulae,DRUPAL_ROOT/sites/all/modules/custom/imager_migrate/migrate.images,eye-nebulae.jpg,public://pictures,eye-nebulae.jpg
,,Bee gathering pollen,DRUPAL_ROOT/sites/all/modules/custom/imager_migrate/migrate.images,flower5.jpg,public://pictures,flower5.jpg
,,Bee gathering pollen,DRUPAL_ROOT/sites/all/modules/custom/imager_migrate/migrate.images,flower7.jpg,public://pictures,flower7.jpg
,,Horsehead nebulae closeup,DRUPAL_ROOT/sites/all/modules/custom/imager_migrate/migrate.images,horsehead.jpg,public://pictures,horsehead.jpg
,,Horsehead nebulae in Infrared,DRUPAL_ROOT/sites/all/modules/custom/imager_migrate/migrate.images,horsehead_ir.jpg,public://pictures,horsehead_ir.jpg
,,Milky way from Sedona Az,DRUPAL_ROOT/sites/all/modules/custom/imager_migrate/migrate.images,milky_way.jpg,public://pictures,milky_way.jpg
,,Northern Lights,DRUPAL_ROOT/sites/all/modules/custom/imager_migrate/migrate.images,northern-lights.jpg,public://pictures,northern-lights.jpg
,,Shooting Star,DRUPAL_ROOT/sites/all/modules/custom/imager_migrate/migrate.images,shooting_star.jpg,public://pictures,shooting_star.jpg
,,Sombrero galaxy,DRUPAL_ROOT/sites/all/modules/custom/imager_migrate/migrate.images,spiral-galaxy.jpg,public://pictures,spiral-galaxy.jpg
,,Is this a Picture or a Painting,DRUPAL_ROOT/sites/all/modules/custom/imager_migrate/migrate.images,stars.jpg,public://pictures,stars.jpg
,,Composite of many Nebulae,DRUPAL_ROOT/sites/all/modules/custom/imager_migrate/migrate.images,up.png,public://pictures,up.png
